ais described by single element
set described by single element
get dcdate
insert image
secondary file system configured
path
timestamp
size
bytes read
read time
user read time
bytes written
write time
user write time
uniformity
counters
read speed
write speed
igfs name
host name
port
basic
metrics
spis
p p
lifecycle
execute service
segmentation
include properties
include event types
rest
user attributes
env
system properties
atomic
transaction
memory configuration
beans
pessimistic tx log linger
atomic sequence reserve size
cache mode
backups
name
meta cache name
data cache name
block size
prefetch blocks
stream buffer size
per node batch size
per node parallel batch count
max task range length
fragmentizer concurrent files
fragmentizer enabled
fragmentizer throttling block length
fragmentizer throttling delay
ipc endpoint configuration
ipc endpoint enabled
management port
sequence reads before prefetch
expire time
history size
logger frequency
unhandled ex
topology versions
events
events ex
caches
caches ex
igfss
igfs endpoints
igfss ex
error counts
ignite instance name
gg home
local host
marshaller
client mode
daemon
jmx remote
restart
network timeout
logger
disco startup delay
m bean server
no ascii
no disco order
no shutdown hook
program name
quiet
success file
update notifier
policy
resolvers
check frequency
wait on start
p p enabled
p p missed response cache size
concurrency level
public thread pool size
system thread pool size
management thread pool size
igfs thread pool size
peer class loading thread pool size
rest thread pool size
rest enabled
tcp ssl enabled
jetty path
jetty host
jetty port
tcp host
tcp ssl context factory
task monitoring enabled
task monitoring enabled
events order key
events order key
events throttle counter key
events throttle counter key
system caches
system caches
enabled
jdbc store
store
store factory
read through
write through
write behind enabled
batch size
flush frequency
flush size
flush thread count
store keep binary
function
mapper
partitioned backups
name
name
mode
system
reads
avg read time
writes
hits
misses
tx commits
avg tx commit time
avg tx rollback time
puts
avg put time
removals
avg removal time
evictions
tx rollbacks
reads per second
puts per second
removals per second
commits per second
rollbacks per second
size
key size
dht evict queue current size
tx thread map size
tx xid map size
tx commit queue size
tx prepare queue size
tx start version counts size
tx committed versions size
tx rolledback versions size
tx dht thread map size
tx dht xid map size
tx dht commit queue size
tx dht prepare queue size
tx dht start version counts size
tx dht committed versions size
tx dht rolledback versions size
off heap allocated size
off heap entries count
mode
batch size
partitioned delay
throttle
timeout
name
mode
system
nodes
metrics
policy
policy max size
filter
near enabled
near start size
near evict policy
near evict max size
name
name
dynamic deployment id
mode
memory size
indexes size
size
near size
backup size
primary size
partitions
metrics
near
alias
task name
task class name
task session id
internal
type id
id
name
nid
timestamp
message
short display
task name
task class name
task session id
job id
evt node id
address
topology version
set
rename file
load class gar only
get resource as stream gar only
streamer node par ops
fit
fit
start
get uri
get custom load balancer class name
get id
get name
get id
atmosphere websocket
set sni host names
stop
to gzip input stream
assert matches
get buffer size
parameter
to source
to source
to source
apply exactly matched transformer
to string
get use original in message
class canoical name
limit lenght
body
set distribution ratio list
set bind port
map value
set default instace
get client
is custom
get bean
has operations
is has custom annotation
get t max
set t max
get d max
set d max
get charset
get body
get connection factory
get listener connection factory
get template connection factory
get transaction manager
register consumer
unregister consumer
process
process
create input stream
get encryptinging algorithm
set private key
set public key
set certificate
set keystore
set secure random
get signature header
set signature header
get clear headers
start
get xpath to id attributes
set minimum result wait time
is report group
read response body from servlet request
create spring context bootstrapping initializer
initialize pdx
apply client cache configurers
initialize pdx
set gemfire instantiators
parse common interest attr
auto startup
bind address
hostname for clients
interest registration listeners
load poll interval
max connections
max message count
max threads
max time between pings
message time to live
port
server load probe
socket buffer size
subscription capacity
subscription disk store name
subscription eviction policy
new region factory bean
get region attributes
update indexes
is persitent
is slave
get number slaves
is bloom enabled
display full report
get pipe line
get server version
report transition
get coprocessor host
get table descriptor
get region servers
get dead region servers
get time stamp of last applied op
get ageof last shipped op
get completed snapshot dir
move to rs group
get row len
get key len
get queue size
start zk server
filter key value
filter key value
filter key value
filter key value
filter key value
create put space snapshot
get time stamp
list tables
get online regions
is merge on
is split on
exec procedure with ret
is balancer on
set normalizer on
is normalizer on
set cleaner chore on
is cleaner chore on
set catalog janitor on
is catalog janitor on
get table name
convert to json with schema envelope
build
build
build pattern for offset reset topics
partitions
get cache
get task assignor
decode global assignment data
is running
timestamp
is running
get time definition
get time to wait for more events
get topic pattern
get consumed internal
compute new value
is ibm jdk
generation
has position
abort
is in error state
clear in flight transactional request correlation id
has in flight transactional request
is ready for transaction
add serializer to config
verify no transaction in flight
in flight request count
string get bytes
string get bytes char set
string get bytes char set us ascii
string get bytes char set default
string get bytes char set shift jis
simple date format string
fast date format string
get throwable
get caller class name from stack trace
get message using new
get message using reflection
throughput string get bytes
throughput pattern m
throughput pattern space
throughput pattern mc
throughput pattern mcd
throughput pattern md
throughput pattern md ex
throughput pattern m ex
throughput pattern mcd ex
call appenders in background thread
format
create formatter
get mime message
is exception suppressed
get completed tasks
equals
get id
should stream entire ss table
use pessimistic locking
get column family name
invalidate cached row
get current operations
check permission on resource chain
ensure is super
is latency for snitch
set column family schema
set column family insert statement
value
add meter
invalids
invalids
execute
execute internal
create slice
execute internal
has clustering columns restriction
self
log audit logger entry
metadatas
run may throw
get key sample size
get index
default column count histogram
default row size histogram
get key
compute next
get max hints thread
incremental backups enabled
get ss table preempive open interval in mb
set ss table preempive open interval in mb
enable materialized views
get request
get response
jj r
jj r
jj
jj
jj r
jj r
jj r
jj r
jj r
jj r
jj r
jj r
jj r
jj r
get ssl implemenation short name
store connector attribtues
get mcast so timeout
get mcast ttl
get host
get tcp selector timeout
get pool
set tcp selector timeout
set host
find filter registration
find servlet registration
substract
substract
substract
add servlet mapping
add url pattern
set namespace uri
set localpart
mark as container thread
get so linger
get so timeout
set so timeout
set max open prepated statements
write external primary keys create stmt
write external foreign key drop stmt
might be internal index
write external index drop stmt
write external index drop stmt
write external index drop stmt
write external foreign key drop stmt
write external foreign key drop stmt
write external index drop stmt
write external index drop stmt
write external index drop stmt
write external index drop stmt
write external index drop stmt
write external foreign key drop stmt
set identity column
get data
set type
bulk set
get tmp file path
get access log regex
get num active
get hive conf
get schema
set semi shared
set shared
end scope
parse time
commit transaction with partition
generate filter decimal column compare scalar
generate filter decimal scalar compare column
generate filter decimal column compare column
add months to millis utc
set write type
re analyze ctas after cbo
is allow distinct functions
translate
get write id and increment
remove temp table
assert partitioned
derive result exact type info
create evaluator
create evaluator
plan did change
process op
get ouput vectorization context
get ouput vectorization context
get ouput vectorization context
get ouput vectorization context
get ouput vectorization context
get ouput vectorization context
get ouput vectorization context
process op
get name
get name
get name
get name
get name
get name
get name
get name
get name
get name
get name
get name
get name
get name
get name
is acid table
get columns
show queue id
delete queue id
get bucket hash code
has decimal
add stat
set path
get path
is active status
is null
get
commit output data
get bind address
get row value predicands
get column references
allocate
get state
get table schema
accept
get table schema
new no name block
generate field name
visit distinct
accept
accept
add when
is line end
is null
size
size
connect
disconnect
is connected
is reversed connected
delete
is active status
display string
raw
has param
get request
get response
jj r
jj r
jj
jj r
jj
jj r
jj r
jj r
jj r
jj r
jj r
jj r
jj r
jj r
jj r
jj r
add compressable mime type
mark as container thread
get content count
set mcast addr
get mcast addr
set mcast bind address
get mcast bind address
set mcast port
set mcast frequency
set mcast drop time
get mcast so timeout
set mcast so timeout
get mcast ttl
set mcast ttl
get host
get tcp selector timeout
get pool
set tcp selector timeout
set host
process annotations url patterns
find filter registration
find servlet registration
add url pattern
add servlet mapping
add url pattern
set namespace uri
set localpart
add pattern
get node
get fetch start index
resolve auto aliases
get fetch start index
add moudles
get context
get context
build non pooling
join
jj ntk
add listener
visit
non recursive visit
get id
get connection
add changed preferences
get embeddable names in cur rent data domain
get count
get orginating query
get orginating query
add stat
new data type without len
new data types without len
get bind address
get progress
check relation existence
has target list
accept
set schema
get schema
get target list
new no name block
generate field name
size
connect
disconnect
is connected
is reversed connected
add join
add sort
accept
accept
size
get ip port string
get tajo root path
handle request internal
create variable value
get flow model holder
get context
get request
get response
parse continuation id
get message
service name excluded
cluster id excluded
prepare kubernetes service id
generate port name
read persisence mapping
add
to string
shutdown
get running pi ds
get source global streamid
declare stream
name
random long
on windows
get this worker host
analyse
re analyse
sub system mounted
predict ser codegen
deserialize node
predict ser codegen
deserialize node
loss
lon tile
get suid
get message
get metadata
set schemas
set service beans
get address
get address
assert is not async sync and user cid
initialize
sign with
sign with
set key identifier type
check security context end
set additional code request params
set relative start uri
set code qualifier
set athentication method
set o auth data provider
get callback uri
get preflight method
create key info
set schema out message
add cross imports sequence
spec
delete async
get task queuing context
get key maybe
get string key maybe
copy
get version
get version
update defined location
can resolve
get transition target node state
require entitled
on unmanaged
get name
set name
get tag support
get basic subscriptions
attribute
config
display name
id
applications
supplier
new key
new key
new key
new key
new key
new key
remove from local bag
remove from local bag
get version
get id from versioned id
get name
get catalog item
get catalog item
get catalog items
add class
absent
of
to optional
shutdown
is prefix important
is microsoft windows
minimum
maximum
is running
sudo
sudo as user
get connection failed stabilization delay
get connection recovered stabilization delay
init
disconnect
get jmx agent jar destination file path
get current java version
add attribute
accept
is original request in session
to uri
set display name
handle line
get qname scope
set qname scope
get enable mtom
set privatelasses
is ignore annotations
get module id
get delpoyment exception
values list
get current principal
context exited
shutdown me
set pool max
get invocations
get resource modules
start inpu output port
get cluster node protocol threads
delete directory
get processor id
get mqtt client
retrieve schema
execute
create keytab user
get kerberos keytab user
is high throughput supported
get tenant authorizable
ensure directory exist and can access
get basedir
get datadir
get basedir
is pre v
spec
tags
from throwable
write async
delete async
get task queuing context
copy
is any type assignable from
get defined location
can resolve
get transition target node state
require entitled
on unmanaged
get name
set name
get tag support
get basic subscriptions
attribute
config
display name
id
applications
supplier
set config
of
shutdown
is microsoft windows
minimum
maximum
is running
sudo
sudo as user
get connection failed stabilization delay
get connection recovered stabilization delay
init
disconnect
get jmx agent jar destination file path
get current java version
add attribute
get name
count
get chat sennd on enter
set chat sennd on enter
get property assignments
get argument names internal
should use sys def tz
should use sys def tz
get local variable
is ic i or later
eval
is right cache
get outputsof sb
get re org op
get lops
set lops
get data type
set data type
set name
get name
get value type
set value type
create tsmm
get num cols
pos f index gte
pos f index gte
resize
display multi lvl hits
cleanup
data type pointer to
get dims
get rows
get cols
get non zeros
get cookie path
type matchers
ant matchers
set message expession handler
set system properties
get journal max write batch size
copy file
is bridge ns
is proxy ns consumer
process dispatch
get broker memory usage
has durable sub changed
run
run
get messages
get subcription id
get subcription name
reset statistics
get discarded
qos
close jmx connector
put
remove
se max inactivity duration
make task context
get address
get instance
trim
trim
pre application
post application
pre application
post application
write class and object
read class and object
get all vertices halted
is default value
validator
compute provide capability capabilities
compute require capability requirements
get transactional class
resolve
add
allows field injection
allows raw conversion
get conversion service
set exported component
is roll back exception
parse content
create deployment metadata
select artifacts
get abs start time
get absolute init time
get property name for stage
get attempt number
get finish time
should blacklist node
get shares count
get cache
at
start
get max simultaneous runs
get allowed workflows
get allowed listeners
get enabled notifiers
get status
name runs
expired runs
unterminated runs
