ais described by single element
set described by single element
get dcdate
insert image
secondary file system configured
path
timestamp
size
bytes read
read time
user read time
bytes written
write time
user write time
uniformity
counters
read speed
write speed
igfs name
host name
port
basic
metrics
spis
p p
lifecycle
execute service
segmentation
include properties
include event types
rest
user attributes
env
system properties
atomic
transaction
memory configuration
beans
pessimistic tx log linger
atomic sequence reserve size
cache mode
backups
name
meta cache name
data cache name
block size
prefetch blocks
stream buffer size
per node batch size
per node parallel batch count
max task range length
fragmentizer concurrent files
fragmentizer enabled
fragmentizer throttling block length
fragmentizer throttling delay
ipc endpoint configuration
ipc endpoint enabled
management port
sequence reads before prefetch
expire time
history size
logger frequency
unhandled ex
topology versions
events
events ex
caches
caches ex
igfss
igfs endpoints
igfss ex
error counts
ignite instance name
gg home
local host
marshaller
client mode
daemon
jmx remote
restart
network timeout
logger
disco startup delay
m bean server
no ascii
no disco order
no shutdown hook
program name
quiet
success file
update notifier
policy
resolvers
check frequency
wait on start
p p enabled
p p missed response cache size
concurrency level
public thread pool size
system thread pool size
management thread pool size
igfs thread pool size
peer class loading thread pool size
rest thread pool size
rest enabled
tcp ssl enabled
jetty path
jetty host
jetty port
tcp host
tcp ssl context factory
task monitoring enabled
task monitoring enabled
events order key
events order key
events throttle counter key
events throttle counter key
system caches
system caches
enabled
jdbc store
store
store factory
read through
write through
write behind enabled
batch size
flush frequency
flush size
flush thread count
store keep binary
function
mapper
partitioned backups
name
name
mode
system
reads
avg read time
writes
hits
misses
tx commits
avg tx commit time
avg tx rollback time
puts
avg put time
removals
avg removal time
evictions
tx rollbacks
reads per second
puts per second
removals per second
commits per second
rollbacks per second
size
key size
dht evict queue current size
tx thread map size
tx xid map size
tx commit queue size
tx prepare queue size
tx start version counts size
tx committed versions size
tx rolledback versions size
tx dht thread map size
tx dht xid map size
tx dht commit queue size
tx dht prepare queue size
tx dht start version counts size
tx dht committed versions size
tx dht rolledback versions size
off heap allocated size
off heap entries count
mode
batch size
partitioned delay
throttle
timeout
name
mode
system
nodes
metrics
policy
policy max size
filter
near enabled
near start size
near evict policy
near evict max size
name
name
dynamic deployment id
mode
memory size
indexes size
size
near size
backup size
primary size
partitions
metrics
near
alias
task name
task class name
task session id
internal
type id
id
name
nid
timestamp
message
short display
task name
task class name
task session id
job id
evt node id
address
topology version
set
rename file
load class gar only
get resource as stream gar only
streamer node par ops
fit
fit
start
get uri
get custom load balancer class name
get id
get name
get id
atmosphere websocket
set sni host names
stop
to gzip input stream
assert matches
get buffer size
parameter
to source
to source
to source
apply exactly matched transformer
to string
get use original in message
class canoical name
limit lenght
body
set distribution ratio list
set bind port
map value
set default instace
get client
is custom
get bean
has operations
is has custom annotation
get t max
set t max
get d max
set d max
get charset
get body
get connection factory
get listener connection factory
get template connection factory
get transaction manager
register consumer
unregister consumer
process
process
create input stream
get encryptinging algorithm
set private key
set public key
set certificate
set keystore
set secure random
get signature header
set signature header
get clear headers
start
get xpath to id attributes
set minimum result wait time
is report group
read response body from servlet request
create spring context bootstrapping initializer
initialize pdx
apply client cache configurers
initialize pdx
set gemfire instantiators
parse common interest attr
auto startup
bind address
hostname for clients
interest registration listeners
load poll interval
max connections
max message count
max threads
max time between pings
message time to live
port
server load probe
socket buffer size
subscription capacity
subscription disk store name
subscription eviction policy
new region factory bean
get region attributes
update indexes
is persitent
is slave
get number slaves
is bloom enabled
display full report
get pipe line
get server version
report transition
get coprocessor host
get table descriptor
get region servers
get dead region servers
get time stamp of last applied op
get ageof last shipped op
get completed snapshot dir
move to rs group
get row len
get key len
get queue size
start zk server
filter key value
filter key value
filter key value
filter key value
filter key value
create put space snapshot
get time stamp
list tables
get online regions
is merge on
is split on
exec procedure with ret
is balancer on
set normalizer on
is normalizer on
set cleaner chore on
is cleaner chore on
set catalog janitor on
is catalog janitor on
get table name
convert to json with schema envelope
build
build
build pattern for offset reset topics
partitions
get cache
get task assignor
decode global assignment data
is running
timestamp
is running
get time definition
get time to wait for more events
get topic pattern
get consumed internal
compute new value
is ibm jdk
generation
has position
abort
is in error state
clear in flight transactional request correlation id
has in flight transactional request
is ready for transaction
add serializer to config
verify no transaction in flight
in flight request count
string get bytes
string get bytes char set
string get bytes char set us ascii
string get bytes char set default
string get bytes char set shift jis
simple date format string
fast date format string
get throwable
get caller class name from stack trace
get message using new
get message using reflection
throughput string get bytes
throughput pattern m
throughput pattern space
throughput pattern mc
throughput pattern mcd
throughput pattern md
throughput pattern md ex
throughput pattern m ex
throughput pattern mcd ex
call appenders in background thread
format
create formatter
get mime message
is exception suppressed
get completed tasks
equals
get id
should stream entire ss table
use pessimistic locking
get column family name
invalidate cached row
get current operations
check permission on resource chain
ensure is super
is latency for snitch
set column family schema
set column family insert statement
value
add meter
invalids
invalids
execute
execute internal
create slice
execute internal
has clustering columns restriction
self
log audit logger entry
metadatas
run may throw
get key sample size
get index
default column count histogram
default row size histogram
get key
compute next
get max hints thread
incremental backups enabled
get ss table preempive open interval in mb
set ss table preempive open interval in mb
enable materialized views
get request
get response
jj r
jj r
jj
jj
jj r
jj r
jj r
jj r
jj r
jj r
jj r
jj r
jj r
jj r
get ssl implemenation short name
store connector attribtues
get mcast so timeout
get mcast ttl
get host
get tcp selector timeout
get pool
set tcp selector timeout
set host
find filter registration
find servlet registration
substract
substract
substract
add servlet mapping
add url pattern
set namespace uri
set localpart
mark as container thread
get so linger
get so timeout
set so timeout
set max open prepated statements
write external primary keys create stmt
write external foreign key drop stmt
might be internal index
write external index drop stmt
write external index drop stmt
write external index drop stmt
write external foreign key drop stmt
write external foreign key drop stmt
write external index drop stmt
write external index drop stmt
write external index drop stmt
write external index drop stmt
write external index drop stmt
write external foreign key drop stmt
set identity column
get data
set type
bulk set
get tmp file path
get access log regex
get num active
get hive conf
get schema
set semi shared
set shared
end scope
parse time
commit transaction with partition
generate filter decimal column compare scalar
generate filter decimal scalar compare column
generate filter decimal column compare column
add months to millis utc
set write type
re analyze ctas after cbo
is allow distinct functions
translate
get write id and increment
remove temp table
assert partitioned
derive result exact type info
create evaluator
create evaluator
plan did change
process op
get ouput vectorization context
get ouput vectorization context
get ouput vectorization context
get ouput vectorization context
get ouput vectorization context
get ouput vectorization context
get ouput vectorization context
process op
get name
get name
get name
get name
get name
get name
get name
get name
get name
get name
get name
get name
get name
get name
get name
is acid table
get columns
show queue id
delete queue id
get bucket hash code
has decimal
add stat
set path
get path
is active status
is null
get
commit output data
get bind address
get row value predicands
get column references
allocate
get state
get table schema
accept
get table schema
new no name block
generate field name
visit distinct
accept
accept
add when
is line end
is null
size
size
connect
disconnect
is connected
is reversed connected
delete
is active status
display string
raw
has param
get request
get response
jj r
jj r
jj
jj r
jj
jj r
jj r
jj r
jj r
jj r
jj r
jj r
jj r
jj r
jj r
jj r
add compressable mime type
mark as container thread
get content count
set mcast addr
get mcast addr
set mcast bind address
get mcast bind address
set mcast port
set mcast frequency
set mcast drop time
get mcast so timeout
set mcast so timeout
get mcast ttl
set mcast ttl
get host
get tcp selector timeout
get pool
set tcp selector timeout
set host
process annotations url patterns
find filter registration
find servlet registration
add url pattern
add servlet mapping
add url pattern
set namespace uri
set localpart
add pattern
get node
get fetch start index
resolve auto aliases
get fetch start index
add moudles
get context
get context
build non pooling
join
jj ntk
add listener
visit
non recursive visit
get id
get connection
add changed preferences
get embeddable names in cur rent data domain
get count
get orginating query
get orginating query
add stat
new data type without len
new data types without len
get bind address
get progress
check relation existence
has target list
accept
set schema
get schema
get target list
new no name block
generate field name
size
connect
disconnect
is connected
is reversed connected
add join
add sort
accept
accept
size
get ip port string
get tajo root path
handle request internal
create variable value
get flow model holder
get context
get request
get response
parse continuation id
get message
service name excluded
cluster id excluded
prepare kubernetes service id
generate port name
read persisence mapping
add
to string
shutdown
get running pi ds
get source global streamid
declare stream
name
random long
on windows
get this worker host
analyse
re analyse
sub system mounted
predict ser codegen
deserialize node
predict ser codegen
deserialize node
loss
lon tile
get suid
get message
get metadata
set schemas
set service beans
get address
get address
assert is not async sync and user cid
initialize
sign with
sign with
set key identifier type
check security context end
set additional code request params
set relative start uri
set code qualifier
set athentication method
set o auth data provider
get callback uri
get preflight method
create key info
set schema out message
add cross imports sequence
spec
delete async
get task queuing context
get key maybe
get string key maybe
copy
get version
get version
update defined location
can resolve
get transition target node state
require entitled
on unmanaged
get name
set name
get tag support
get basic subscriptions
attribute
config
display name
id
applications
supplier
new key
new key
new key
new key
new key
new key
remove from local bag
remove from local bag
get version
get id from versioned id
get name
get catalog item
get catalog item
get catalog items
add class
absent
of
to optional
shutdown
is prefix important
is microsoft windows
minimum
maximum
is running
sudo
sudo as user
get connection failed stabilization delay
get connection recovered stabilization delay
init
disconnect
get jmx agent jar destination file path
get current java version
add attribute
accept
is original request in session
to uri
set display name
handle line
get qname scope
set qname scope
get enable mtom
set privatelasses
is ignore annotations
get module id
get delpoyment exception
values list
get current principal
context exited
shutdown me
set pool max
get invocations
get resource modules
start inpu output port
get cluster node protocol threads
delete directory
get processor id
get mqtt client
retrieve schema
execute
create keytab user
get kerberos keytab user
is high throughput supported
get tenant authorizable
ensure directory exist and can access
get basedir
get datadir
get basedir
is pre v
spec
tags
from throwable
write async
delete async
get task queuing context
copy
is any type assignable from
get defined location
can resolve
get transition target node state
require entitled
on unmanaged
get name
set name
get tag support
get basic subscriptions
attribute
config
display name
id
applications
supplier
set config
of
shutdown
is microsoft windows
minimum
maximum
is running
sudo
sudo as user
get connection failed stabilization delay
get connection recovered stabilization delay
init
disconnect
get jmx agent jar destination file path
get current java version
add attribute
get name
count
get chat sennd on enter
set chat sennd on enter
get property assignments
get argument names internal
should use sys def tz
should use sys def tz
get local variable
is ic i or later
eval
is right cache
get outputsof sb
get re org op
get lops
set lops
get data type
set data type
set name
get name
get value type
set value type
create tsmm
get num cols
pos f index gte
pos f index gte
resize
display multi lvl hits
cleanup
data type pointer to
get dims
get rows
get cols
get non zeros
get cookie path
type matchers
ant matchers
set message expession handler
set system properties
get journal max write batch size
copy file
is bridge ns
is proxy ns consumer
process dispatch
get broker memory usage
has durable sub changed
run
run
get messages
get subcription id
get subcription name
reset statistics
get discarded
qos
close jmx connector
put
remove
se max inactivity duration
make task context
get address
get instance
trim
trim
pre application
post application
pre application
post application
write class and object
read class and object
get all vertices halted
is default value
validator
compute provide capability capabilities
compute require capability requirements
get transactional class
resolve
add
allows field injection
allows raw conversion
get conversion service
set exported component
is roll back exception
parse content
create deployment metadata
select artifacts
get abs start time
get absolute init time
get property name for stage
get attempt number
get finish time
should blacklist node
get shares count
get cache
at
start
get max simultaneous runs
get allowed workflows
get allowed listeners
get enabled notifiers
get status
name runs
expired runs
unterminated runs
get camel context
set camel context
to des tination
to message
process
to string
to pro cessor
create active mqm es sage
get binding
set binding
to string
create consumer
create consumer
create subscriber
create durable subscriber
create rec eiver
create producer
create pub lisher
create sender
get uri
set uri
get endpoint
set endpoint
get camel context
set camel context
get binding
set binding
resolve endpoint
resolve camel context
close
get message listener
set message listener
rec eive
rec eive
rec eive no wait
get des tination
get endpoint
get message selector
is no local
get session
get polling consumer
create message
process
create consumer
check closed
on des tination event
get camel context
set camel context
get comp onent
set comp onent
add queue
get queue uri
add topic
get topic uri
get broker url
set broker url
is use single con nection
set use single con nection
is use pooled con nection
set use pooled con nection
create transaction manager
set active mqc omponent
create pooled con nection factory
load class
active mqc omponent
set broker url
is expose all queues
set expose all queues
set use pooled con nection
set use single con nection
add pooled con nection factory service
add single con nection factory
set config uration
create config uration
get queue
send
send
get queue
get topic
get no local
get camel context
set camel context
get queue name
create sender
create rec eiver
get des tination
get endpoint
close
check closed
get topic
publish
publish
publish
publish
get topic name
create pub lisher
create durable subscriber
get con nection
set con nection
get session
set session
get producer
set producer
requires layout
activate options
create session
create producer
create message
get des tination
get jndi name
set jndi name
get user name
set user name
get password
set password
get ini tial context factory name
set ini tial context factory name
get provider url
set provider url
get url pkg prefixes
set url pkg prefixes
get sec urity principal name
set sec urity principal name
get sec urity cre dentials
set sec urity cre dentials
create con nection
get uri
set uri
get user name
set user name
get password
set password
get object
get object type
is singleton
get tcp host and ports
set tcp host and ports
set tcp host and port
get max in act ivity duration
set max in act ivity duration
get tcp prop erties
set tcp prop erties
get max reconnect delay
set max reconnect delay
get fail over prop erties
set fail over prop erties
as query string
create tcp host and port url
not empty
after prop erties set
create secure random
get trust store type
get key store type
get key store algor ithm
set key store algor ithm
get trust store algor ithm
set trust store algor ithm
get key store password
set key store password
get trust store password
set trust store password
set key store type
set trust store type
get secure random algor ithm
set secure random algor ithm
after prop erties set
get bean name
set bean name
is use bean name as client id prefix
set use bean name as client id prefix
set app lication context
get bean
get beans of type
after prop erties set
get bean name
set bean name
is use bean name as client id prefix
set use bean name as client id prefix
get object
get object type
is singleton
after prop erties set
sho uld auto start
destroy
set start
after prop erties set
destroy
get config
get object
get object type
is singleton
is start
set config
set start
get object
get object type
is singleton
set app lication context
run
destroy
get config
set config
get broker
is start
set start
is system exit on stop
set system exit on stop
is system exit on shutdown
set system exit on shutdown
get system exit on shutdown exit code
set system exit on shutdown exit code
is validate
set validate
init bean def inition reader
set app lication context
get max con nections
set max con nections
get max imum active
set max imum active
get transaction manager
set transaction manager
get resource name
set resource name
get con nection factory
set con nection factory
destroy
get object type
is singleton
rec eive messages
rec eive messages
rec eive messages
create jms consumer
create jms consumer
get jms consumer
get client
set client
get class name
create con nection factory
instantiate con nection factory
configure con nection factory
create con nection factory
send messages
send messages
create jms producer
get jms producer
create jms text message
get jms text message
get client
set client
build text
get tp sampler
get factory
set factory
get factory
set factory
get dest count
set dest count
get dest index
set dest index
get client name
set client name
get con nection
get sys test
set sys test
get jms client prop erties
get producer
set producer
run jms client
configure prop erties
ret rieve prop erties
accept config
is durable
set durable
is un subscribe
set un subscribe
is async recv
set async recv
get recv count
set recv count
get recv duration
set recv duration
get recv type
set recv type
get dest name
set dest name
is dest comp osite
set dest comp osite
get sess ack mode
set sess ack mode
is sess transacted
set sess transacted
get jms provider
set jms provider
get jms version
set jms version
get jms prop erties
set jms prop erties
accept config
get factory set tings
ret rieve object prop erties
find set ter method
find all get ter methods
is get ter method
is set ter method
get prop erty name
get del ivery mode
set del ivery mode
get message size
set message size
get send count
set send count
get send duration
set send duration
get send type
set send type
is create new msg
set create new msg
get report type
set report type
get report dir
set report dir
get report name
set report name
get samplers
set samplers
get spi class
set spi class
get client prefix
set client prefix
get num clients
set num clients
get total des ts
set total des ts
get dest distro
set dest distro
get props config file
set props config file
re set
get throu ghput
set throu ghput
inc throu ghput
inc throu ghput
get sys test
set sys test
get jms client prop erties
get consumer
set consumer
run jms client
get sum
get min
get max
get ave
handle csv data
get summary
close report writer
write info
write csv data
write prop erties
write prop erties
write perf summary
write header
add to client tpl ist
handle csv data
open report writer
close report writer
get report dir
set report dir
get report name
set report name
get xml file
set xml file
write info
write csv data
write prop erties
write prop erties
create temp log file
create xml file
write to xml
write xml header
write xml footer
write xml test set tings
write xml perf summary
write map
execute
create argument
is recog nized prop erty
execute
create argument
is recog nized prop erty
get com mand
set com mand
to string array
set bluepr int container
set bluepr int conve rter
set action id
get com plete rs
set com plete rs
get preparator
convert
create new action
get name
equals
hash code
to string
set certi ficate s
get certi ficate s
get dis tinguished name
get name
equals
hash code
to string
ini tialize
close
get ldapp roper ty value
get prop erty name
get prop erty value
handle
set con nection id
get con nection id
get con nection
get con sumers
to string
find singleton broker
set broker name
get config uration
set config uration
shutdown
get broker name
get m bean server con nection
is con nection active
close con nection
purge queue
get mana gement context
query names
new proxy instance
set broker service
get broker service
context ini tialized
context dest royed
create broker
do get
get read timeout
access
set con tinuation
get queues
get topics
get durable topic subs cribers
get inactive durable topic subs cribers
get queue
get topic
get managed objects
get con nections
get con nection
get connectors
get connector
get network connectors
get network bridges
get queue con sumers
get job scheduler
get scheduled jobs
is job scheduler started
init
as boolean
as boolean
get send time to live
get send pri ority
is send persistent
is sync
as des tination
as int eger
as long
as long
as int
as string
get des tination
get des tination from uri
is topic
get selector
get id map
get des tination name map
get listener
get millis since last accessed
update last accessed
close if expired
get now
to string
remove des tination
add des tination
get broker admin
get broker facade
is queue
get jmsd es tination
get jmsd es tination type
set jmsd es tination type
create des tination
get queue view
redirect to req uest
redirect to browse view
get physical des tination name
get supp orted http methods
get style
do get
get id
set id
set message
get message
get prop erties map
create map body
render message
get x stream
set x stream
render message
get des cription
set des cription
get feed type
set feed type
get entry content type
set entry content type
print footer
get feed
create entry content
create feed
render messages
render message
get max messages
set max messages
get content type
set content type
print header
print footer
do delete
do get
set con tinuation
do filter
session dest royed
get browser
set browser
set queue
get selector
set selector
is queue
create browser
get client id
get subscriber name
check con nection
set con nection
get con nection factory
set con nection factory
create session
get message renderer
configure renderer
get selector
get queue
get cron entry
get job id
get next exe cution time
get delay
get period
get repeat
get start
to string
get broker service
get broker name
get broker
get mana gement context
get broker admin
get managed broker
query names
new proxy instance
get web client
get web client
init context
get del ivery mode
set del ivery mode
close con sumers
is closed
write ext ernal
send
send
get session
get producer
set producer
get consumer
get consumer
close consumer
get con sumers
create session
get semaphore
session will passivate
value unbound
init
mutate price
get num ber of messages
get con sumers
get con nection factory
get jmx password
get jmx urls
get jmx user
make con nection factory
make jmx urls
get con nection factory
get jmx urls
get jmx password
get jmx user
get jndi string
get jmx urls
get jmx password
get jmx user
is valid use ram anaged transaction
is valid no local
is valid message selector
is valid max sessions
is valid max messages per sessions
is valid max messages per batch
is valid enable batch
get resource adapter
set resource adapter
get des tination type
set des tination type
get password
set password
get user name
set user name
get message selector
set message selector
get no local
set no local
get ackn owledge mode
set ackn owledge mode
get client id
set client id
get des tination
set des tination
get sub scription durability
set sub scription durability
get sub scription name
set sub scription name
is valid sub scription name
is valid client id
is durable sub scription
is valid ackn owledge mode
is valid des tination type
is valid des tination
is empty
get ackn owledge mode for session
set active mqd es tination
create des tination
get max messages per sessions
set max messages per sessions
get max sessions
set max sessions
get use ram anaged transaction
set use ram anaged transaction
get max messages per sessions int value
get max sessions int value
is use ram anaged transaction enabled
get no local boolean value
get enable batch
set enable batch
get enable batch boolean value
get max messages per batch int value
get max messages per batch
set max messages per batch
get back off multi plier
get ini tial re del ivery delay
get max imum re deli veries
is use expo nential back off
set max imum re deli veries
set use expo nential back off
re del ivery policy
lazy create re del ivery policy
make con nection
get bootstrap context
get broker xml config
set broker xml config
equals
hash code
get con nection factory
set con nection factory
close
cleanup
get con nection
create session
session closed
set use shared tx context
create queue session
create topic session
get client id
get exception listener
get meta data
set client id
set exception listener
start
stop
create con nection consumer
create con nection consumer
create con nection consumer
create durable con nection consumer
get managed con nection
on exception
get activation spec
get message endpoint factory
hash code
equals
get ref erence
set ref erence
create con nection
create con nection
create queue con nection
create queue con nection
create topic con nection
create topic con nection
set use shared tx context
close
cleanup
get session
commit
create browser
create browser
create bytes message
create consumer
create consumer
create consumer
create durable subscriber
create durable subscriber
create map message
create message
create object message
create object message
create producer
create queue
create stream message
create tem porary queue
create tem porary topic
create text message
create text message
create topic
get ackn owledge mode
get message listener
get transacted
recover
rollback
set message listener
un subscribe
create rec eiver
create rec eiver
create sender
create pub lisher
create subscriber
create subscriber
run
to string
allocate con nection
con nection closed
con nection error occurred
get next log id
get session
is stale
get message producer
work accepted
work rejected
work started
work compl eted
before del ivery
release
close
copy
is con nection factory confi gured
not equal
get server url
set server url
get password
set password
get user name
set user name
get client id
set client id
get use inbound session
set use inbound session
is use inbound session enabled
get re del ivery back off multi plier
get ini tial re del ivery delay
get max imum re deli veries
get re del ivery use expo nential back off
set re del ivery back off multi plier
set ini tial re del ivery delay
set max imum re deli veries
set re del ivery use expo nential back off
get durable topic pre fetch
get queue browser pre fetch
get queue pre fetch
get topic pre fetch
set all pre fetch values
set durable topic pre fetch
set queue browser pre fetch
set queue pre fetch
set topic pre fetch
re del ivery policy
pre fetch policy
get session
get queue session
get topic session
get session and producer
create producer
run
create browser
create browser
create bytes message
create consumer
create consumer
create consumer
create durable subscriber
create durable subscriber
create map message
create message
create object message
create object message
create queue
create stream message
create tem porary queue
create tem porary topic
create text message
create text message
create topic
get ackn owledge mode
get message listener
get transacted
set message listener
un subscribe
create rec eiver
create rec eiver
create sender
create subscriber
create subscriber
create pub lisher
to string
make con nection
get info
not equal
empty to null
default value
get client id
get password
get server url
get user name
set user name
get durable topic pre fetch
set durable topic pre fetch
get ini tial re del ivery delay
set ini tial re del ivery delay
get max imum re deli veries
set max imum re deli veries
get queue browser pre fetch
set queue browser pre fetch
get queue pre fetch
set queue pre fetch
get re del ivery back off multi plier
set re del ivery back off multi plier
get re del ivery use expo nential back off
set re del ivery use expo nential back off
get topic pre fetch
set topic pre fetch
set all pre fetch values
is use inbound session enabled
get use inbound session
set use inbound session
start
is running
con nect
register thread session
unregister thread session
get con nection
empty to null
create endpoint
get existing server session
get existing active server session
return to pool
is closing
set closing
set in managed tx
begin
commit
rollback
commit
for get
get transaction timeout
prepare
rollback
set transaction timeout
is in managed tx
cleanup
get resource adapter
equals
hash code
write object
read object
create con nection factory
create con nection factory
create managed con nection
match managed con nections
set log writer
get log writer
close
get des tination
get del ivery mode
get disable message id
get disable message time stamp
get pri ority
get time to live
send
send
send
send
set del ivery mode
set disable message id
set disable message time stamp
set pri ority
set time to live
get queue
send
send
get topic
publish
publish
publish
publish
create session
create queue session
create topic session
get meta data
get client id
set client id
get exception listener
set exception listener
create con nection consumer
create durable con nection consumer
create con nection consumer
create con nection consumer
create not supp orted
set use shared tx context
begin
commit
commit
end
for get
get transaction id
get transaction timeout
is in local transaction
is in xat rans action
is in transaction
is same rm
prepare
recover
rollback
rollback
set transaction timeout
start
add syn chronization
set in managed tx
begin event
commit event
rollback event
is in managed tx
matches
ass ociate
get physical con nection
fire begin event
fire commit event
fire rollback event
fire close event
fire error occurred event
is dest royed
ass ociate con nection
add con nection event listener
remove con nection event listener
get xar e source
get local transaction
get eisp roduct name
get eisp roduct version
get max con nections
get user name
set log writer
get log writer
matches
proxy closed event
on exception
get transaction context
get active session and producer
register
unregister
get id
before del ivery
on message
after del ivery
release
to string
before del ivery
on message
after del ivery
release
transition
before del ivery
on message
after del ivery
release
enter
before del ivery
on message
after del ivery
release
get name
set name
get exception
get default wire for mat type
create transport
create tcp transport server
create tcp transport
set broker service
marshal
un marshal
get version
set version
create object message
create map message
get x stream
set x stream
set broker context
generate com mand id
on response
send to stomp
check con nected
convert message
get stomp transport
get default wire for mat type
set broker service
get default wire for mat type
set broker service
get ack mode
set ack mode
get sub scription id
set des tination
get des tination
get consumer info
get action
set action
get content
get body
set content
get headers
set headers
get com mand id
get from
get to
is broker info
is message
is message ack
is message dispatch
is message dispatch notification
is response
is response required
is shutdown info
is con nection con trol
is wire for mat info
visit
get data structure type
is marshall aware
open
open
close
rec eive
rec eive frame
string from buffer
get stomp socket
set stomp socket
con nect
send
subscribe
subscribe
un subscribe
ack
ack
ack
on select
on error
do start
one way
send to active mq
is trace
set trace
is fatal
